HP,MPG,VOL,SP,WT
49,53.70068138,89,104.1853528,28.7620589
55,50.01340115,92,105.4612635,30.46683298
55,50.01340115,92,105.4612635,30.19359657
70,45.69632238,92,113.4612635,30.63211391
53,50.50423183,92,104.4612635,29.88914864
70,45.69632238,89,113.1853528,29.59176832
55,50.01340115,92,105.4612635,30.30847957
62,46.71655428,50,102.5985128,15.84775807
62,46.71655428,50,102.5985128,16.35948352
80,42.29907817,94,115.6452041,30.92015417
73,44.65283424,89,111.1853528,29.36334142
92,39.3540941,50,117.5985128,15.75353468
92,39.3540941,99,122.1050553,32.81359241
73,44.65283424,89,111.1853528,29.3784363
66,45.73489292,89,108.1853528,29.34727902
73,44.65283424,89,111.1853528,29.60452658
78,42.78990885,91,114.3692933,29.5357836
92,39.3540941,50,117.5985128,16.19412154
78,42.78990885,91,114.3692933,29.92939368
90,38.90183397,103,118.4729364,33.51697417
92,38.4110033,99,119.1050553,32.32464971
74,42.8284794,107,110.8408174,34.90821127
95,38.31060597,101,120.2889958,32.6758277
81,40.47472334,96,113.8291446,31.83712236
95,38.31060597,89,119.1853528,28.78172789
92,38.4110033,50,114.5985128,16.04317492
92,38.4110033,117,120.7605199,38.06282335
92,38.4110033,99,119.1050553,32.83506939
52,43.4694339,104,99.56490661,34.4832075
103,35.40419245,107,121.8408174,35.54935984
84,39.4312352,114,113.4846092,37.04235003
84,39.4312352,101,112.2889958,33.23436141
102,36.28545648,97,119.9211148,31.38004084
102,36.28545648,113,121.3926389,37.57328965
